sitename,address,city,dist,lat,lon
台亞林口中山加油站,新北市林口區南勢里文化三路二段300號(近文化三路二段/中山路口),新北市,林口區,25.083612,121.3772569
7-ELEVEN 貝比店站,新北市林口區湖南村8鄰頭湖70-9號(近文化北路二段/寶林路交叉口),新北市,林口區,25.085012,121.377891
中油金山加油站,新北市金山區中山路385號(近中山路/中華路口),新北市,金山區,25.2247789,121.6338099
新北市中角灣站,新北市金山區台2線39公里處(近中角灣國際衝浪基地),新北市,金山區,25.2383024,121.6305387
新北市水尾停車場站,新北市金山區民生路196號斜對面(近水尾停車場),新北市,金山區,25.2221463,121.6459792
全聯泰山全興店站,新北市泰山區全興路101號(近新北市立圖書館泰山分館),新北市,泰山區,25.0572106,121.4336262
新北市義學立體停車場站,新北市泰山區明志路二段188號(近明志路二段/明志路二段192巷口),新北市,泰山區,25.0500966,121.4274722
Gogoro 泰山明志門市站,新北市泰山區明志路三段81號(近泰山貴子路郵局),新北市,泰山區,25.0417539,121.4250865
台塑中泰加油站,新北市泰山區泰林路二段32號(近中港西路/泰林路口),新北市,泰山區,25.0569777,121.4360928
中油泰山加油站,新北市泰山區泰林路二段424號(近泰林路二段/泰林路二段436巷口),新北市,泰山區,25.0644877,121.427016
中油永錡泰山加油站,新北市泰山區泰林路二段47號(近泰林路/仁德路口),新北市,泰山區,25.0575183,121.4354787
A5 泰山站,新北市泰山區新北大道四段431號(近A5 泰山站3號出口旁),新北市,泰山區,25.0530918,121.4396809
新北市烏來立體停車場站,新北市烏來區烏來街47號(近烏來老街),新北市,烏來區,24.8655138,121.5516424
